"","variables","MeanDecreaseGini","newvarnames"
"1","mines_rareelements_npersqkm",0.0204724578203374,"Rare element mines (n/sqkm)"
"2","mines_heavymetal_npersqkm",0.103929556157073,"Heavy metal mines (n/sqkm)"
"3","npdes_stormwatermunicipal_npersqkm",0.325455324892573,"Municipal separate storm sewer systems (n/sqkm)"
"4","sems_superfundnpl_npersqkm",1.39218425026075,"Superfund sites (n/sqkm)"
"5","lake_glaciatedlatewisc",1.41390155711642,"Glaciated"
"6","npdes_cafo_npersqkm",1.87704711869784,"Concentrated animal feed operations (n/sqkm)"
"7","lith_carbonateresid_pct",2.27409867047028,"Carbonate residual rock (%)"
"8","lake_lakes1ha_upstream_n",3.39741072984615,"Upstream lakes <= 1 ha (no.)"
"9","npdes_majordischarge_npersqkm",3.96639675530795,"Facilities with major discharge (n/sqkm)"
"10","lith_silicicresid_pct",4.42920277752366,"Silicic residual rock (%)"
"11","lake_lakes1ha_upstream_ha",4.95877216826746,"Upstream lakes <= 1 ha (ha)"
"12","npdes_stormwaterindustrial_npersqkm",6.76416653707993,"Industrial storm water sewers (n/sqkm)"
"13","npdes_potw_npersqkm",7.16432926120756,"Publically owned sewage treatment plants (n/sqkm)"
"14","lith_noncarbonateresid_pct",8.52890062737977,"Noncarbonate residual rock (%)"
"15","canals_mperha",9.02625576371022,"Canals (m/ha)"
"16","lake_connectivity_class",9.70687632817404,"Connectivity class"
"17","epanutr_zoneid",10.6440789466206,"Ecoregion"
"18","dams_npersqkm",13.8477044374173,"Dams (n/sqkm)"
"19","nlcd_summed_dev_diff",15.4561050382443,"Difference in development 2016-2001 (%)"
"20","satoverlandflow_pct",16.3486386028025,"Saturated over land flow (%)"
"21","avg_nlcd_shrub52_pct",16.7879911335233,"Average shrub (%)"
"22","nlcd_summed_agr_diff",16.8241663769102,"Difference in agriculture 2016-2001 (%)"
"23","groundwaterrecharge_mmperyr",17.2283267633841,"Groundwater recharge (mm/yr)"
"24","runoff_inperyr",17.5539991177652,"Runoff (in/yr)"
"25","soil_silt_pct",17.6651375129199,"Soil silt (%)"
"26","avg_nlcd_ag_pct",17.7692285786724,"Average agriculture (%)"
"27","soil_orgcarbon_gperkg",18.208628761869,"Soil organic carbon (g/kg)"
"28","tri_m",18.2368904387151,"Mean terrain ruggedness index"
"29","soil_sand_pct",18.2845383453267,"Soil sand (%)"
"30","avg_nlcd_forest_pct",18.6454223889972,"Average forest (%)"
"31","lm_slope_s_deposition",18.7270007353838,"Slope of sulfur deposition over time"
"32","avg_nlcd_wetland_pct",19.0200173405525,"Average wetland (%)"
"33","soil_clay_pct",19.0499823218966,"Soil clay (%)"
"34","soil_depthtobedrock_cm",19.6353039097121,"Soil depth to bedrock (cm)"
"35","baseflowindex_pct",19.7100927804767,"Baseflow index (%)"
"36","avg_nlcd_icesnow12_pct",19.7570146472052,"Average ice and snow (%)"
"37","mean_totaldepsulfur_kgperha",19.8020646353372,"Mean total sulfur deposition (kg/ha)"
"38","avg_nlcd_openwater11_pct",20.0123487996143,"Average open water (%)"
"39","lm_slope_n_deposition",20.0729221115736,"Slope of nitrogen deposition over time"
"40","avg_nlcd_dev_pct",20.496696815878,"Average development (%)"
"41","topographicwetness",20.5988076446508,"Topographic wetness"
"42","soil_coarse_pct",20.8517048631827,"Soil coarse (%)"
"43","roads_mperha",20.9258289739752,"Roads (m/ha)"
"44","nlcd_summed_forest_diff",20.9479932110278,"Difference in forest 2016-2001 (%)"
"45","reliefratio",21.1333896737761,"Relief ratio"
"46","avg_ppt",21.9174339696051,"Average precipitation (ppt)"
"47","mean_totaldepnitrogen_kgperha",21.9693462480558,"Mean total nitrogen deposition (kg/ha)"
"48","soil_kffact",22.1836559028853,"Average soil erodibility factor"
"49","lake_lat_decdeg",22.9921487537376,"Latitude (DD)"
"50","avg_nlcd_barren31_pct",23.0825496729923,"Average barren (%)"
"51","lake_waterarea_ha",23.3483048838135,"Lake area (ha)"
"52","lm_slope_ppt",23.4994190232039,"Slope of precipitation over time"
"53","ws_area_ha",23.5700475058347,"Watershed area (ha)"
"54","lake_perimeter_m",23.9078239846703,"Lake perimeter (m)"
"55","nlcd_summed_wetland_diff",24.0946157053287,"Difference in wetland 2016-2001 (%)"
"56","avg_annual_range_temp_degC",24.1420948666484,"Average annual air temperature range (deg C)"
"57","lm_slope_temp",24.1946653013874,"Slope of temperature over time"
"58","avg_temp_degC",26.6565031238685,"Average annual air
temperature (deg C)"
"59","lake_lon_decdeg",26.8861470420435,"Longitude (DD)"
"60","lake_elevation_m",30.9351368229477,"Lake elevation (m)"
