"","variables","MeanDecreaseGini","newvarnames"
"1","mines_heavymetal_npersqkm",0,"Heavy metal mines (n/sqkm)"
"2","mines_rareelements_npersqkm",0.0695760585059635,"Rare element mines (n/sqkm)"
"3","npdes_stormwatermunicipal_npersqkm",0.464113955659322,"Municipal separate storm sewer systems (n/sqkm)"
"4","lake_glaciatedlatewisc",1.16741367941098,"Glaciated"
"5","sems_superfundnpl_npersqkm",1.63101764128498,"Superfund sites (n/sqkm)"
"6","npdes_cafo_npersqkm",1.82033324781838,"Concentrated animal feed operations (n/sqkm)"
"7","lith_carbonateresid_pct",3.13384726655826,"Carbonate residual rock (%)"
"8","lith_silicicresid_pct",4.69341827673099,"Silicic residual rock (%)"
"9","npdes_majordischarge_npersqkm",6.02448431703151,"Facilities with major discharge (n/sqkm)"
"10","npdes_stormwaterindustrial_npersqkm",6.52423021598526,"Industrial storm water sewers (n/sqkm)"
"11","lith_noncarbonateresid_pct",9.38852689536185,"Noncarbonate residual rock (%)"
"12","lake_lakes1ha_upstream_n",9.40863270666892,"Upstream lakes <= 1 ha (no.)"
"13","npdes_potw_npersqkm",10.1912425866603,"Publically owned sewage treatment plants (n/sqkm)"
"14","canals_mperha",11.7126402967449,"Canals (m/ha)"
"15","lake_connectivity_class",13.4047513936729,"Connectivity class"
"16","lake_lakes1ha_upstream_ha",13.5340559210094,"Upstream lakes <= 1 ha (ha)"
"17","epanutr_zoneid",15.1986635106613,"Ecoregion"
"18","dams_npersqkm",15.3523666034757,"Dams (n/sqkm)"
"19","satoverlandflow_pct",18.2794451560883,"Saturated over land flow (%)"
"20","avg_nlcd_shrub52_pct",18.5522281707887,"Average shrub (%)"
"21","lm_slope_s_deposition",19.0908898025519,"Slope of sulfur deposition over time"
"22","groundwaterrecharge_mmperyr",20.5449155855205,"Groundwater recharge (mm/yr)"
"23","nlcd_summed_agr_diff",20.5695120436978,"Difference in agriculture 2016-2001 (%)"
"24","baseflowindex_pct",20.614564540609,"Baseflow index (%)"
"25","tri_m",20.627458629705,"Mean terrain ruggedness index"
"26","soil_orgcarbon_gperkg",20.7461745070526,"Soil organic carbon (g/kg)"
"27","avg_nlcd_icesnow12_pct",20.8126616641712,"Average ice and snow (%)"
"28","soil_silt_pct",21.6369959848289,"Soil silt (%)"
"29","soil_sand_pct",21.8227342722604,"Soil sand (%)"
"30","runoff_inperyr",22.0216542562145,"Runoff (in/yr)"
"31","soil_kffact",22.0507390822165,"Average soil erodibility factor"
"32","nlcd_summed_dev_diff",22.2578981181372,"Difference in development 2016-2001 (%)"
"33","avg_nlcd_ag_pct",22.5337287671109,"Average agriculture (%)"
"34","mean_totaldepnitrogen_kgperha",22.5522293816098,"Mean total nitrogen deposition (kg/ha)"
"35","mean_totaldepsulfur_kgperha",22.6380951286648,"Mean total sulfur deposition (kg/ha)"
"36","avg_nlcd_wetland_pct",22.7839182415945,"Average wetland (%)"
"37","avg_nlcd_openwater11_pct",22.7996697231422,"Average open water (%)"
"38","avg_ppt",22.819375437017,"Average precipitation (ppt)"
"39","soil_clay_pct",22.8529708988248,"Soil clay (%)"
"40","topographicwetness",22.9681451910027,"Topographic wetness"
"41","lm_slope_n_deposition",23.2072250946392,"Slope of nitrogen deposition over time"
"42","avg_nlcd_forest_pct",24.0453709033754,"Average forest (%)"
"43","soil_depthtobedrock_cm",24.0771468021848,"Soil depth to bedrock (cm)"
"44","avg_nlcd_barren31_pct",24.3117338827994,"Average barren (%)"
"45","soil_coarse_pct",24.3125233425257,"Soil coarse (%)"
"46","reliefratio",24.8581418925832,"Relief ratio"
"47","avg_temp_degC",24.9661338461944,"Average annual air
temperature (deg C)"
"48","avg_nlcd_dev_pct",25.381772749184,"Average development (%)"
"49","lm_slope_ppt",26.7380976156618,"Slope of precipitation over time"
"50","lake_lon_decdeg",26.8980600351961,"Longitude (DD)"
"51","lake_lat_decdeg",27.576626083375,"Latitude (DD)"
"52","nlcd_summed_forest_diff",27.827790309056,"Difference in forest 2016-2001 (%)"
"53","nlcd_summed_wetland_diff",28.468472189775,"Difference in wetland 2016-2001 (%)"
"54","ws_area_ha",28.7843056482292,"Watershed area (ha)"
"55","avg_annual_range_temp_degC",28.8904450374933,"Average annual air temperature range (deg C)"
"56","lake_elevation_m",30.0908469892557,"Lake elevation (m)"
"57","roads_mperha",31.2220867666597,"Roads (m/ha)"
"58","lm_slope_temp",31.6750923827216,"Slope of temperature over time"
"59","lake_perimeter_m",32.9582462237859,"Lake perimeter (m)"
"60","lake_waterarea_ha",37.0212380492576,"Lake area (ha)"
