"","ecoregion_name","trend_cat_switch","ecoregion_abb","n","percent","mean_slope"
"1","Coastal Plains","Blue -> Greener","CPL",189,3.27613104524181,0.580047320196089
"2","Coastal Plains","Green -> Bluer","CPL",604,10.4697521234183,-0.486373018537749
"3","Coastal Plains","Intensifying Blue","CPL",379,6.56959611717802,-0.523071390411389
"4","Coastal Plains","Intensifying Green/brown","CPL",749,12.9831859941064,0.430440995879319
"5","Coastal Plains","No trend - Blue","CPL",1337,23.1755936904143,0.0169462196364557
"6","Coastal Plains","No trend - Green/brown","CPL",2119,36.730802565436,-0.00196825926803758
"7","Coastal Plains","Shift to blue","CPL",218,3.77881781937944,-0.904847384667196
"8","Coastal Plains","Shift to green","CPL",174,3.01612064482579,0.901533309447723
"9","Northern Appalachians","Blue -> Greener","NAP",243,4.67577448527997,0.401849309829075
"10","Northern Appalachians","Green -> Bluer","NAP",49,0.942851645179911,-0.460704734261809
"11","Northern Appalachians","Intensifying Blue","NAP",925,17.7987300365596,-0.377069900915603
"12","Northern Appalachians","Intensifying Green/brown","NAP",76,1.46238214354435,0.444784926792353
"13","Northern Appalachians","No trend - Blue","NAP",3301,63.5174138926304,-0.033076502451348
"14","Northern Appalachians","No trend - Green/brown","NAP",444,8.54339041754858,-0.00917360113372693
"15","Northern Appalachians","Shift to blue","NAP",121,2.32826630748509,-0.748186260193575
"16","Northern Appalachians","Shift to green","NAP",38,0.731191071772176,0.82468766640437
"17","Northern Plains","Blue -> Greener","NPL",8,0.463768115942029,0.417352306718505
"18","Northern Plains","Green -> Bluer","NPL",490,28.4057971014493,-0.422700387149684
"19","Northern Plains","Intensifying Blue","NPL",16,0.927536231884058,-0.481653492234715
"20","Northern Plains","Intensifying Green/brown","NPL",151,8.7536231884058,0.464082988876647
"21","Northern Plains","No trend - Blue","NPL",33,1.91304347826087,-0.0540768757495273
"22","Northern Plains","No trend - Green/brown","NPL",1009,58.4927536231884,-0.0325709811021128
"23","Northern Plains","Shift to blue","NPL",16,0.927536231884058,-0.660418213393393
"24","Northern Plains","Shift to green","NPL",2,0.115942028985507,1.16365166819646
"25","Southern Appalachians","Blue -> Greener","SAP",100,4.55788514129444,0.405577231823262
