"","lake_nhdid","lm_slope","trend_cat_switch","q1","q2","q3","ave_slope","sd_slope"
"1","0308fde8-0136-46d6-a2f2-36f4c744fc12",-0.453797288232057,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"2","03a49ea0-522e-4652-af0b-20db1e7a7f48",-0.429763828508205,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"3","03e8c38e-a4de-4fbf-8429-8d52356372e8",-0.312919186750521,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"4","041728BB-4963-4AD3-9FE6-81B0ABFF7A41",-0.289013235439324,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"5","07cd4ece-f174-40d0-90ea-5c4ad6dc1c60",-0.769673961285916,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"6","0830f040-b750-48b8-933f-7d1904a93c39",-0.277335205537169,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"7","08562896-5A6D-4B53-BFC8-87D264068937",-0.553312728802232,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"8","091f4d14-dd88-4403-8025-8f1261b02b70",-0.240435097055582,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"9","0D7FFC19-03F2-417C-979C-3C6CB7701CDC",-0.45020395418649,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"10","0E3C512B-3E29-412A-9B6F-D38B29B72205",-0.84701515080009,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"11","0cb9b9cf-3f4b-4061-9608-9f965f202b85",-0.959879543185738,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"12","0cbcd681-1263-4179-9eed-38649be75880",-0.198897765122532,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"13","0d5aa438-891d-4721-8490-d593097c08e3",-0.784229852268276,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"14","0f4af3aa-0728-4bb7-8f6f-2280f90d44a3",-0.40678602391071,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"15","100325880",-1.33205022555878,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"16","100326138",-1.20369110353519,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"17","100326500",-0.464275857759438,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"18","100326532",-0.625981418939048,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"19","100326534",-0.770709713423736,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"20","100328042",-1.40900289262751,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"21","100328084",-0.359313995857818,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"22","100328790",-0.318060384401934,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"23","100328916",-0.104587652459536,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"24","100328962",-0.440666950356131,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"25","100329432",-0.677875344528715,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"26","100329452",-0.298729612776911,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"27","100329486",-0.185557028779684,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"28","100330190",-0.806656378436198,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"29","100330232",-0.898364849918865,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"30","100331458",-0.945213697412058,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"31","100331470",-0.851362552824332,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"32","100331484",-1.62472077712927,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"33","100331564",-0.483474278240285,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"34","100386924",-0.640668725100912,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"35","100481827",-1.24240893764981,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"36","100482903",-0.514110865707473,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"37","100508128",-0.759441617558319,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"38","100520742",1.02865551563575,"Shift to green",0.499176039682914,0.669006681159956,0.929696709381351,0.74975824336069,0.339183236122059
"39","100522158",0.344471153143958,"Blue -> Greener",0.242853936960704,0.354827454312481,0.497947686939853,0.39399379249266,0.212345043135302
"40","100538262",-0.885413212134998,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"41","100545606",-0.350579943341251,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"42","100575936",-0.369076697423809,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"43","100597332",-0.903614044346887,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"44","100606456",-0.241784026706406,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"45","100626022",-0.695168369900705,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"46","100626072",-1.52805760416893,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"47","100734241",-0.553004621810672,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"48","100734415",0.183645460929164,"Blue -> Greener",0.242853936960704,0.354827454312481,0.497947686939853,0.39399379249266,0.212345043135302
"49","100986998",-0.294533194513784,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"50","100995914",-0.618513272229768,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"51","100c8ef7-7f15-45ff-a974-90955ee3e4fb",-0.181728556452928,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"52","101226517",-0.17280687649831,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"53","101691899",-0.241679185275354,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"54","102007104",-0.565811385099936,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"55","102216284",-1.05511305527158,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"56","102216982",-0.227252606500757,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
"57","102250703",0.405123661959451,"Shift to green",0.499176039682914,0.669006681159956,0.929696709381351,0.74975824336069,0.339183236122059
"58","102250763",0.711217683727233,"Shift to green",0.499176039682914,0.669006681159956,0.929696709381351,0.74975824336069,0.339183236122059
"59","102250961",0.716590436076911,"Shift to green",0.499176039682914,0.669006681159956,0.929696709381351,0.74975824336069,0.339183236122059
"60","102250983",-0.808441294181757,"Shift to blue",-1.00889182380703,-0.745334519511304,-0.552933965145119,-0.815252941150717,0.35766833809591
"61","102251067",0.413491755340007,"Shift to green",0.499176039682914,0.669006681159956,0.929696709381351,0.74975824336069,0.339183236122059
"62","102251393",0.677765106264198,"Shift to green",0.499176039682914,0.669006681159956,0.929696709381351,0.74975824336069,0.339183236122059
"63","102753927",-0.213264441752568,"Green -> Bluer",-0.570434180728136,-0.396407547912208,-0.264409672619416,-0.445091493385643,0.251521442947564
