"","variables","MeanDecreaseGini","newvarnames"
"1","size_category",132.133782571392,"Lake size (small/large)"
"2","lake_lakes1ha_upstream_n",209.365403201074,"Upstream lakes <= 1 ha (no.)"
"3","lake_lakes1ha_upstream_ha",259.822922617519,"Upstream lakes <= 1 ha (ha)"
"4","lake_connectivity_class",353.939981227879,"Connectivity class"
"5","nlcd_summed_dev_diff",423.057617382043,"Difference in development 2016-2001 (%)"
"6","nlcd_summed_wetland_diff",536.974620826682,"Difference in wetland 2016-2001 (%)"
"7","avg_nlcd_dev_pct",674.248311962238,"Average development (%)"
"8","avg_nlcd_barren31_pct",675.396260705071,"Average barren (%)"
"9","nlcd_summed_forest_diff",702.314403396229,"Difference in forest 2016-2001 (%)"
"10","avg_nlcd_wetland_pct",716.974879905424,"Average wetland (%)"
"11","avg_nlcd_openwater11_pct",719.275729289826,"Average open water (%)"
"12","lm_slope_ppt",829.017652829331,"Slope of precipitation over time"
"13","nlcd_summed_agr_diff",831.246342746578,"Difference in agriculture 2016-2001 (%)"
"14","lake_glaciatedlatewisc",857.645851475094,"Glaciated"
"15","avg_nlcd_ag_pct",907.790416328054,"Average agriculture (%)"
"16","avg_annual_range_temp_degC",990.457000487172,"Average annual air temperature range (deg C)"
"17","lake_perimeter_m",999.301351748068,"Lake perimeter (m)"
"18","ws_area_ha",1036.83423696052,"Watershed area (ha)"
"19","lm_slope_temp",1078.65996958558,"Slope of temperature over time"
"20","avg_nlcd_icesnow12_pct",1082.53527984188,"Average ice and snow (%)"
"21","lake_waterarea_ha",1179.97416429525,"Lake area (ha)"
"22","lake_elevation_m",1208.58502949844,"Lake elevation (m)"
"23","avg_ppt",1446.02326173318,"Average precipitation (ppt)"
"24","avg_nlcd_shrub52_pct",1795.48592959344,"Average shrub (%)"
"25","lake_lat_decdeg",1804.2964485606,"Latitude (DD)"
"26","avg_temp_degC",1807.43511710199,"Average temperature (deg C)"
"27","lake_lon_decdeg",2175.27774819405,"Longitude (DD)"
"28","avg_nlcd_forest_pct",2709.8390573262,"Average forest (%)"
"29","epanutr_zoneid",3845.64269979374,"Ecoregion"
