"","variables","MeanDecreaseGini","newvarnames"
"1","mines_rareelements_npersqkm",0.624553705926377,"Rare element mines (n/sqkm)"
"2","mines_heavymetal_npersqkm",1.50259043406745,"Heavy metal mines (n/sqkm)"
"3","npdes_stormwatermunicipal_npersqkm",5.61763534875008,"Municipal separate storm sewer systems (n/sqkm)"
"4","npdes_cafo_npersqkm",11.0103337140322,"Concentrated animal feed operations (n/sqkm)"
"5","sems_superfundnpl_npersqkm",15.4976329534113,"Superfund sites (n/sqkm)"
"6","lith_carbonateresid_pct",18.6561880666877,"Carbonate residual rock (%)"
"7","lith_silicicresid_pct",27.2610267215584,"Silicic residual rock (%)"
"8","npdes_majordischarge_npersqkm",31.4662261831559,"Facilities with major discharge (n/sqkm)"
"9","npdes_stormwaterindustrial_npersqkm",38.0176672172525,"Industrial storm water sewers (n/sqkm)"
"10","lith_noncarbonateresid_pct",42.5329482159915,"Noncarbonate residual rock (%)"
"11","npdes_potw_npersqkm",43.5888002020943,"Publically owned sewage treatment plants (n/sqkm)"
"12","canals_mperha",76.0243539095079,"Canals (m/ha)"
"13","dams_npersqkm",77.0360408299508,"Dams (n/sqkm)"
"14","nlcd_summed_dev_diff",97.3642960937443,"Difference in development 2016-2001 (%)"
"15","lake_lakes1ha_upstream_n",110.136337762153,"Upstream lakes <= 1 ha (no.)"
"16","satoverlandflow_pct",115.204796512653,"Saturated over land flow (%)"
"17","reliefratio",118.788077872495,"Relief ratio"
"18","nlcd_summed_wetland_diff",121.654265419423,"Difference in wetland 2016-2001 (%)"
"19","lake_lakes1ha_upstream_ha",122.75189794925,"Upstream lakes <= 1 ha (ha)"
"20","lake_glaciatedlatewisc",123.521713527988,"Glaciated"
"21","roads_mperha",126.187404302913,"Roads (m/ha)"
"22","avg_nlcd_dev_pct",131.43691180208,"Average development (%)"
"23","nlcd_summed_agr_diff",143.853406058607,"Difference in agriculture 2016-2001 (%)"
"24","lake_connectivity_class",146.269401255637,"Connectivity class"
"25","avg_nlcd_ag_pct",150.28027406131,"Average agriculture (%)"
"26","mean_totaldepnitrogen_kgperha",150.977010265593,"Mean total nitrogen deposition (kg/ha)"
"27","nlcd_summed_forest_diff",157.673145551491,"Difference in forest 2016-2001 (%)"
"28","avg_nlcd_barren31_pct",158.616363301198,"Average barren (%)"
"29","avg_nlcd_wetland_pct",158.997249811704,"Average wetland (%)"
"30","topographicwetness",159.778311945635,"Topographic wetness"
"31","lm_slope_s_deposition",163.823529022861,"Slope of sulfur deposition over time"
"32","mean_totaldepsulfur_kgperha",166.721100109249,"Mean total sulfur deposition (kg/ha)"
"33","avg_nlcd_openwater11_pct",172.084591274453,"Average open water (%)"
"34","lm_slope_n_deposition",187.889463757833,"Slope of nitrogen deposition over time"
"35","soil_silt_pct",201.358430651292,"Soil silt (%)"
"36","soil_depthtobedrock_cm",213.669497994399,"Soil depth to bedrock (cm)"
"37","tri_m",222.406340132062,"Mean terrain ruggedness index"
"38","avg_nlcd_icesnow12_pct",225.469478137258,"Average ice and snow (%)"
"39","lm_slope_ppt",238.08287719696,"Slope of precipitation over time"
"40","avg_annual_range_temp_degC",250.826786338519,"Average annual air temperature range (deg C)"
"41","lm_slope_temp",253.550301564766,"Slope of temperature over time"
"42","lake_perimeter_m",302.463417242125,"Lake perimeter (m)"
"43","avg_nlcd_shrub52_pct",313.947110386769,"Average shrub (%)"
"44","lake_waterarea_ha",319.946841676621,"Lake area (ha)"
"45","avg_ppt",340.971916109014,"Average precipitation (ppt)"
"46","ws_area_ha",344.48274291249,"Watershed area (ha)"
"47","lake_elevation_m",346.442823718823,"Lake elevation (m)"
"48","soil_kffact",352.934348144797,"Average soil erodibility factor"
"49","avg_temp_degC",369.62846836705,"Average annual air
temperature (deg C)"
"50","lake_lat_decdeg",439.271804724714,"Latitude (DD)"
"51","runoff_inperyr",441.54338783485,"Runoff (in/yr)"
"52","soil_sand_pct",449.405258511658,"Soil sand (%)"
"53","lake_lon_decdeg",495.215579783612,"Longitude (DD)"
"54","baseflowindex_pct",585.83589852212,"Baseflow index (%)"
"55","avg_nlcd_forest_pct",646.389083346674,"Average forest (%)"
"56","soil_coarse_pct",688.121787936629,"Soil coarse (%)"
"57","groundwaterrecharge_mmperyr",740.423169382667,"Groundwater recharge (mm/yr)"
"58","epanutr_zoneid",927.753180465168,"Ecoregion"
"59","soil_clay_pct",938.147019510759,"Soil clay (%)"
"60","soil_orgcarbon_gperkg",1301.65201144404,"Soil organic carbon (g/kg)"
